date,city,temperature,humidity,wind_speed,pressure,condition
2023-01-01,Ahmedabad,15.8,62.8,15.5,999.8,Cloudy
2023-01-01,Akola,26.4,52.8,3.2,1001.1,Rainy
2023-01-01,Amravati,22.5,56.8,8.6,1010.0,Sunny
2023-01-01,Bengaluru,18.9,78.5,11.8,1015.3,Stormy
2023-01-01,Bhandara,17.8,60.5,14.2,1010.9,Sunny
2023-01-01,Chandrapur,22.4,60.1,9.5,1003.9,Partly Cloudy
2023-01-01,Chennai,27.0,83.1,20.1,1007.1,Sunny
2023-01-01,Delhi,17.1,81.3,14.0,1009.3,Cloudy
2023-01-01,Gadchiroli,22.4,54.2,9.0,1006.4,Sunny
2023-01-01,Gondia,16.1,65.3,7.9,1002.6,Sunny
2023-01-01,Hyderabad,21.2,50.6,10.8,1015.8,Sunny
2023-01-01,Jaipur,10.8,53.9,8.4,1001.3,Sunny
2023-01-01,Kolkata,19.7,77.2,16.1,1012.5,Stormy
2023-01-01,Lucknow,18.5,79.7,5.6,1011.9,Rainy
2023-01-01,Mumbai,22.6,72.8,11.9,1017.9,Cloudy
2023-01-01,Nagpur,22.1,71.7,15.7,1006.7,Cloudy
2023-01-01,Pune,19.0,75.6,15.9,1021.7,Partly Cloudy
2023-01-01,Wardha,20.6,55.3,7.6,1012.5,Sunny
2023-01-01,Washim,18.6,63.4,13.9,1003.7,Foggy
2023-01-01,Yavatmal,16.0,69.3,16.9,1014.6,Foggy
2023-01-02,Ahmedabad,12.8,58.4,5.5,1008.8,Sunny
2023-01-02,Akola,18.2,58.1,16.0,1003.0,Stormy
2023-01-02,Amravati,17.3,54.8,6.1,1006.8,Partly Cloudy
2023-01-02,Bengaluru,17.9,85.2,13.6,1013.2,Sunny
2023-01-02,Bhandara,18.0,64.8,7.7,1007.4,Rainy
2023-01-02,Chandrapur,18.7,70.7,13.8,1007.3,Cloudy
2023-01-02,Chennai,27.4,68.1,14.8,1010.9,Sunny
2023-01-02,Delhi,14.8,59.2,13.9,1014.4,Windy
2023-01-02,Gadchiroli,18.1,66.7,9.8,1001.1,Stormy
2023-01-02,Gondia,16.6,56.2,6.7,1009.3,Rainy
2023-01-02,Hyderabad,22.4,59.1,7.7,1013.6,Cloudy
2023-01-02,Jaipur,15.4,53.1,16.5,1007.0,Cloudy
2023-01-02,Kolkata,18.9,77.7,11.2,1007.3,Cloudy
2023-01-02,Lucknow,19.6,65.6,12.3,1014.1,Windy
2023-01-02,Mumbai,22.5,70.4,13.1,1003.2,Partly Cloudy
2023-01-02,Nagpur,25.0,40.9,9.2,1005.7,Windy
2023-01-02,Pune,21.7,66.2,7.8,1016.2,Sunny
2023-01-02,Wardha,13.9,52.9,11.1,1004.0,Windy
2023-01-02,Washim,21.8,71.2,15.4,999.3,Sunny
2023-01-02,Yavatmal,18.0,60.5,10.5,1008.0,Sunny
2023-01-03,Ahmedabad,16.2,47.1,25.5,1006.8,Cloudy
2023-01-03,Akola,18.5,40.3,13.2,1001.2,Sunny
2023-01-03,Amravati,19.9,46.8,4.5,999.4,Cloudy
2023-01-03,Bengaluru,16.5,75.5,11.3,1004.6,Cloudy
2023-01-03,Bhandara,18.6,68.0,4.5,1000.0,Sunny
2023-01-03,Chandrapur,24.4,57.5,7.2,1000.1,Sunny
2023-01-03,Chennai,28.1,72.3,11.0,1003.4,Windy
2023-01-03,Delhi,17.6,52.7,12.3,1007.2,Rainy
2023-01-03,Gadchiroli,12.1,75.1,9.3,1013.9,Cloudy
2023-01-03,Gondia,19.9,71.3,4.7,1004.7,Rainy
2023-01-03,Hyderabad,25.3,61.3,10.9,1009.8,Partly Cloudy
2023-01-03,Jaipur,12.1,48.9,12.5,1000.8,Rainy
2023-01-03,Kolkata,18.5,77.1,11.0,1009.6,Cloudy
2023-01-03,Lucknow,8.1,74.6,6.7,1002.7,Cloudy
2023-01-03,Mumbai,26.6,72.4,14.3,1003.0,Rainy
2023-01-03,Nagpur,18.0,62.4,9.9,1007.3,Windy
2023-01-03,Pune,18.8,64.6,14.1,1011.9,Partly Cloudy
2023-01-03,Wardha,14.9,59.5,11.5,1000.3,Rainy
2023-01-03,Washim,24.2,62.4,7.1,1009.8,Cloudy
2023-01-03,Yavatmal,15.8,60.4,15.4,1005.0,Cloudy
2023-01-04,Ahmedabad,22.1,52.4,12.4,999.9,Windy
2023-01-04,Akola,14.1,64.2,12.7,1007.1,Foggy
2023-01-04,Amravati,18.2,60.5,12.1,1009.3,Sunny
2023-01-04,Bengaluru,19.1,83.6,8.5,1008.6,Cloudy
2023-01-04,Bhandara,16.8,56.2,5.1,998.5,Sunny
2023-01-04,Chandrapur,22.1,43.5,3.7,1011.8,Rainy
2023-01-04,Chennai,29.5,66.0,18.2,1005.2,Cloudy
2023-01-04,Delhi,20.8,63.0,15.0,1010.7,Rainy
2023-01-04,Gadchiroli,17.0,66.3,7.8,1013.5,Foggy
